sex,se_mean,se_stdev,b_mean,b_stdev,uv_mean,uv_stdev,score_mean,score_stdev,sat_mean,sat_stdev
female,1.72,1.02,3.64,.92,3.56,.86,2.47,.96,-0.19,0.98
male,2.30,1.20,3.97,.81,3.93,.77,2.73,.90,0.03,0.97
